,,,,,,,,,
"COICOP Code list",,,,,,,,,
,,,,,,,,,
"COICOP","item","CoicopType","CoicopTypeDesc","MainGroup","MainName","SecondaryGroup","secondaryGroupName","ThirdGroup","ThirdGroupDEsc"
"01116402","Samp",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01116501","Other grain products (pies except meat pies and fruit pies)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"66111101","Maize",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"66111201","Wheat",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"66111301","Other grains",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0111","Bread and cerels"
"01121000","Beef and veal (incl heads and feet)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01122000","Pork (incl heads and feet)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01123000","Mutton (incl heads and feet)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01123200","Lamb (incl heads and feet)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01123300","Goat (incl heads and feet)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01124100","Poultry (incl heads and feet)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125101","Boerewors",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125102","Pork sausage",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125103","Beef sausage",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125104","Other sausages (chicken, game,etc)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125201","Viennas",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125202","Polony",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125203","Ham",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125204","Bacon",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125205","Other processed meat ( Russians)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125301","Biltong",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125302","Dried sausages",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01125303","Mopane worms",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01126101","Pre-cooked frozen meat",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01126102","Meat spread (Marmite)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01126401","Beef extract cubes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01126402","Chicken extract cubes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01126501","Other meat and meat products (including meat pies)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01126601","Meat patties",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01127100","Other meat (incl heads and feet)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"66211101","Cattle",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"66211201","Sheep",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"66211301","Pigs",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"66211401","Goats",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"66211501","Poultry",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0112","Meat"
"01131100","Fresh or chilled fish",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01131200","Frozen fish",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01132100","Fresh or chilled seafood",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01132201","Frozen shrimps",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01132202","Frozen lobster",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01132203","Frozen mixed seafood",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01133101","Dried fish",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01133201","Smoked fish",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01134101","Fish cakes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01134102","Fish fingers",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01134103","Fish portions",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01134201","Fish paste",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01134301","Canned tuna",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01134302","Canned pilchards",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01134303","Other canned fish",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01134400","Other preserved or processed fish and seafood",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0113","Fish"
"01141101","Fresh full cream milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01141201","Longlife Full cream milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01142101","Fresh low fat milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01142201","Longlife low fat milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01143101","Condensed milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01143201","Evaporated milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01143301","Powdered milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01143401","Whiteners (Cremora, Ellis Brown)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01144101","Plain yogurt",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01144201","Flavoured yogurt",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01145101","Cheddar cheese",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01145201","Gouda cheese",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01145301","White cheese",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01145401","Cottage cheese",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01145501","Cheese spread",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01145601","Other cheese, specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01146101","Fresh cream",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01146201","Butter milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01146301","Sour milk/maas",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01146401","Soya milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01146501","Prepared custard (eg Ultramel)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01146601","Amageu",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01146701","Other milk products",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01147101","Jumbo eggs",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01147201","Extra large eggs",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01147301","Large eggs",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01147401","Medium eggs",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"66111401","Milk",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"66111501","Eggs",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0114","Milk, cheese and eggs"
"01151101","Butter",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01152101","Medium fat margarine spread",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01152102","Low fat margarine spread",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01152103","Yellow brick margarine",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01152201","Peanut butter",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01152301","Cooking fat, vegetable (eg Holsum)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01153100","Olive oils",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01154101","Edible oils (eg cooking oils)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01155101","Other edible animal fats (eg lard)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"66111601","Fruit",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0115","Oils and fats"
"01161101","Oranges",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01161201","Naartjies",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01161301","Grapefruit",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01161401","Lemons",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01161501","Other citrus",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01162101","Bananas",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01163101","Apples",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01164101","Pears",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01165101","Apricots",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01165201","Peaches",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01165301","Plums",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01165401","Avocados",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01165501","Cherries",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01165601","Other stone fruit",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01166101","Grapes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01166201","Strawberries",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01166301","Other, specify berries",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01167101","Paw paw",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01167201","Pineapple",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01167301","Mango",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01167401","Guava",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01167501","Watermelon",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01167601","Melon",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01167701","Other (specify) tropical fruit",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168101","Peaches dried",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168102","Prunes dried",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168103","Raisins",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168104","Dates",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168105","Other dried fruit",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168106","Assorted dried fruit",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168201","Coconut",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168202","Almonds",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168203","Pecan nuts",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168204","Walnuts",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168205","Peanuts",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01168206","Other nuts, specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01169101","Canned pears",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01169102","Canned peaches",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01169103","Canned guavas",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01169104","Canned fruit cocktail",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01169105","Canned granadilla pulp",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01169106","Other, specify (Lemon juice)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"66111701","Vegetables",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0116","Fruits"
"01171101","Lettuce",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01171102","Spinach/morogo fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01172101","Cabbage fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01172102","Cauliflower fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01172103","Broccoli fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01172201","Cauliflower frozen",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173101","Green mealies fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173102","Tomatoes fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173103","Green beans fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173104","Pumpkin (Butternut) fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173105","Marrow fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173106","Gem squashes fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173107","Green/red/yellow pepper fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173108","Chillies fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173109","Cucumber fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173188","Mixed vegetables fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173191","Other, fresh vegetables specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173201","Corn kernels frozen",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173203","Green beans frozen",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173204","Pumpkin frozen",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173210","Peas frozen",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173288","Mixed vegetables frozen",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01173299","Other frozen vegetables",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01174101","Onions",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01174102","Carrots fresh",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01174103","Beetroot",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01174104","Mushrooms",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01174202","Carrots frozen",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01175101","Peas dried",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01175201","Beans dried",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01175301","Lentils dried",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01175401","Other dried vegetables, specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176101","Corn kernels canned",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176102","Sweet corn, cream style",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176103","Baked beans in tomato sauce",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176104","Peas tinned",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176105","Butter beans",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176106","Green beans canned",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176107","Other canned vegetables",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176108","Pickles",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176109","Atchaar",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176110","Vegetable spread (Bovril, Fray Bentos)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01176201","Prepared salads",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01177101","Potatoes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01178101","Potato chips frozen",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01178201","Sweet potatoes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01178301","Potato crisps",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01178302","Cheese curls",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01178303","Corn chips",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01178304","Pop corn kernels",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01178305","Prepared pop corn",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01178307","Other, vegetable products specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0117","Vegetables"
"01181101","White sugar",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01181102","Brown sugar",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01181103","Icing sugar",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01181104","Castor sugar",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01181201","Artificial sweeteners",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01181301","Other sugar , specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01182101","Honey",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01182201","Smooth apricot jam",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01182202","Smooth peach jam",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01182203","Melon and ginger jam",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01182204","Other jam, (including strawberry)",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01182205","Preserves, specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01182206","Marmalade",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01183101","Milk, plain slabs",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01183102","Milk, whole nut slabs",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01183201","Bar with filling",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01183301","Other, chocolates specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01184101","Toffees",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01184201","Glucose sweets",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01184301","Health bars",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01184401","Other sweets",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01185101","Full cream ice cream",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01185102","Sorbet",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01185103","Frozen yogurt",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01185104","Ice cubes",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01185105","Other edible ices and ice cream, specify",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01186101","Jelly powder",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01186201","Golden syrup",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01186301","Other sugar products",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0118","Sugar, jam, honey, chocolate and confectionery"
"01191101","Vinegar",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0119","Food products n.e.c."
"01191201","Chutney",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0119","Food products n.e.c."
"01191301","Mustard",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0119","Food products n.e.c."
"01191401","Tomato sauce",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0119","Food products n.e.c."
"01191501","Mayonnaise",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0119","Food products n.e.c."
"01191601","Salad dressing",1,"Consumption","01","Food and non-alcoholic beverages","011","Food","0119","Food products n.e.c."
